Sum_Qvals	sum_data	sum_err	Sum_sq	Sum_qb	Sum_fs
0.003797	1.04207930243004	0.0102082285555822	0.00109	0.003945	0.9956
0.004197	1.05628704744573	0.0102775826313668	0.001093	0.004328	1
0.004596	1.01400379475572	0.0100697755424623	0.001096	0.004716	1
0.004996	1.01496623034279	0.0100745532424162	0.0011	0.005106	1
0.005396	1.01910331084929	0.0100950646894871	0.001105	0.005498	1
0.005795	1.04686948326327	0.0102316640057386	0.001111	0.00589	1
0.006195	0.998512705809896	0.00999256076193633	0.001117	0.006284	1
0.006595	1.0105166744218	0.0100524458437825	0.001124	0.006678	1
0.006995	0.995559261888318	0.00997777160436296	0.001131	0.007073	1
0.007394	0.998311962721186	0.00999155624875918	0.00114	0.007468	1
0.007794	0.979231987486703	0.00989561512735162	0.001148	0.007864	1
0.008194	1.01936485631886	0.0100963600189319	0.001157	0.008261	1
0.008593	0.963080886353143	0.00981366845961867	0.001167	0.008657	1
0.008993	0.963876491848647	0.00981772118084766	0.001177	0.009054	1
0.009393	0.998581195415889	0.00999290345903476	0.001187	0.009451	1
0.009792	0.982789562883524	0.00991357434472312	0.001198	0.009848	1
0.01019	0.960223377506017	0.00979909882339196	0.001209	0.01025	1
0.01059	0.950812902120873	0.00975096355300784	0.00122	0.01064	1
0.01099	0.927418274845146	0.00963025583691911	0.001232	0.01104	1
0.01139	0.94668048775883	0.00972975070471402	0.001244	0.01144	1
0.01179	0.969548252330642	0.00984656413339517	0.001257	0.01184	1
0.01219	0.95061506034729	0.00974994902728876	0.00127	0.01224	1
0.01259	0.941736460276336	0.00970431069307004	0.001283	0.01263	1
0.01299	0.905968717899945	0.00951823890170837	0.001296	0.01303	1
0.01339	0.906248281191926	0.00951970735470333	0.00131	0.01343	1
0.01374	0.923840906275219	0.00961166430060486	0.002327	0.01391	1
0.01379	0.901593360093248	0.00949522701199528	0.001324	0.01383	1
0.01419	0.887312512519948	0.00941972670792496	0.001338	0.01423	1
0.01459	0.889580271134847	0.00943175631118005	0.001353	0.01463	1
0.01499	0.911784357926542	0.00954874001073724	0.001367	0.01502	1
0.01505	0.873877215879022	0.00934814000686244	0.002353	0.01521	1
0.01539	0.890549857793105	0.00943689492255321	0.001382	0.01542	1
0.01579	0.846282438963344	0.00919936105913527	0.001397	0.01582	1
0.01619	0.857369431042077	0.0092594245557814	0.001413	0.01622	1
0.01636	0.879378953637373	0.00937752074717712	0.002381	0.0165	1
0.01659	0.865196464056081	0.00930159375621233	0.001429	0.01662	1
0.01699	0.856380054532194	0.0092540804758344	0.001444	0.01702	1
0.01738	0.834533266593051	0.00913527923269481	0.001461	0.01742	1
0.01767	0.809992413938383	0.00899995785511456	0.002411	0.0178	1
0.01778	0.811804958758442	0.00901002196866601	0.001477	0.01782	1
0.01818	0.835987221312397	0.00914323368022713	0.001493	0.01821	1
0.01858	0.820804518098442	0.0090598262571555	0.00151	0.01861	1
0.01898	0.806715441989387	0.00898173391940213	0.002444	0.0191	1
0.01898	0.794992524372497	0.00891623532872758	0.001527	0.01901	1
0.01938	0.784262950237022	0.00885586218409603	0.001544	0.01941	1
0.01978	0.815626078146564	0.0090312019031055	0.001561	0.01981	1
0.02018	0.795177759348442	0.00891727401927541	0.001578	0.02021	1
0.02029	0.768015000444599	0.008763646503851	0.002479	0.0204	1
0.02058	0.794329509096667	0.00891251653068126	0.001596	0.02061	1
0.02098	0.790530015458177	0.00889117548729175	0.001613	0.02101	1
0.02138	0.754810786289916	0.00868798472771399	0.001631	0.02141	1
0.0216	0.764067658837445	0.00874109637767166	0.002515	0.0217	1
0.02178	0.761466465472588	0.00872620459004135	0.001649	0.0218	1
0.02218	0.739043561553091	0.00859676428403787	0.001667	0.0222	1
0.02258	0.733844177320801	0.00856647055280529	0.001685	0.0226	1
0.0229	0.712611976799981	0.00844163477532628	0.002554	0.02301	1
0.02298	0.714513916271656	0.00845289250062756	0.001703	0.023	1
0.02338	0.71355662414879	0.00844722809061522	0.001722	0.0234	1
0.02378	0.693033172315765	0.00832486139413603	0.00174	0.0238	1
0.02418	0.695838542662164	0.00834169372886684	0.001759	0.0242	1
0.02421	0.711880675429197	0.00843730214837182	0.002594	0.02431	1
0.02458	0.689242010927619	0.00830206005114164	0.001778	0.0246	1
0.02498	0.678118830447923	0.00823479708582988	0.001797	0.025	1
0.02537	0.702266219346685	0.00838013257261891	0.001816	0.0254	1
0.02552	0.674380867488764	0.00821206957769334	0.002636	0.02561	1
0.02577	0.666036507999007	0.00816110597896515	0.001835	0.0258	1
0.02617	0.661044162565763	0.00813046224126134	0.001854	0.02619	1
0.02657	0.663151558812364	0.00814341180840293	0.001873	0.02659	1
0.02683	0.656629263160606	0.00810326639794476	0.00268	0.02692	1
0.02697	0.636978177459939	0.00798109126285334	0.001892	0.02699	1
0.02737	0.657756729533488	0.00811022027773283	0.001912	0.02739	1
